Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Sumofsales,Category,Year
Acura MDX,93,389,782,611,550,501,0,0,0,0,0,0,2926,MLS,2021
Audi Q7,210,210,236,303,292,303,0,0,0,0,0,0,1554,MLS,2021
Audi Q8,130,130,146,211,203,211,0,0,0,0,0,0,1031,MLS,2021
BMW X5,323,323,364,518,498,518,0,0,0,0,0,0,2544,MLS,2021
BMW X6,72,72,81,113,108,113,0,0,0,0,0,0,559,MLS,2021
Cadillac XT5,378,378,425,575,553,575,0,0,0,0,0,0,2884,MLS,2021
Cadillac XT6,146,146,164,175,168,175,0,0,0,0,0,0,974,MLS,2021
Genesis GV80,108,106,160,154,146,168,121,0,0,0,0,0,963,MLS,2021
Infiniti QX60,130,130,146,95,91,95,0,0,0,0,0,0,687,MLS,2021
Jaguar F0Pace,116,116,131,184,177,184,0,0,0,0,0,0,908,MLS,2021
Land Rover Defender,216,216,243,129,124,129,0,0,0,0,0,0,1057,MLS,2021
Land Rover Discovery / LR4,13,13,15,21,20,21,0,0,0,0,0,0,103,MLS,2021
Land Rover Range Rover Sport,263,263,296,282,271,282,0,0,0,0,0,0,1657,MLS,2021
Land Rover Range Rover Velar,105,105,118,149,143,149,0,0,0,0,0,0,769,MLS,2021
Lexus GX,37,36,19,30,18,21,14,0,0,0,0,0,175,MLS,2021
Lexus RX,451,493,836,904,801,944,923,0,0,0,0,0,5352,MLS,2021
Lincoln Aviator,115,115,130,191,184,191,0,0,0,0,0,0,926,MLS,2021
Lincoln MKX/Nautilus,95,95,107,190,183,190,0,0,0,0,0,0,860,MLS,2021
Maserati Levante,25,25,28,31,40,24,0,0,0,0,0,0,173,MLS,2021
Mercedes0Benz GLE0Class,543,543,611,680,654,680,0,0,0,0,0,0,3711,MLS,2021
Porsche Cayenne,131,131,147,296,285,296,0,0,0,0,0,0,1286,MLS,2021
Tesla Model X,80,80,90,84,81,84,0,0,0,0,0,0,499,MLS,2021
Volvo XC90,190,190,214,261,338,205,0,0,0,0,0,0,1398,MLS,2021
Acura MDX,194,196,94,54,224,420,353,420,437,429,255,845,3921,MLS,2020
Audi Q7,142,183,111,81,181,190,266,236,256,203,167,232,2248,MLS,2020
Audi Q8,84,108,66,43,96,100,122,109,118,161,132,184,1323,MLS,2020
BMW X5,296,383,232,215,478,501,456,405,439,466,382,532,4785,MLS,2020
BMW X6,76,98,60,41,92,96,106,94,102,89,73,101,1028,MLS,2020
Cadillac XT5,209,270,164,161,359,377,511,454,492,412,338,470,4217,MLS,2020
Cadillac XT6,77,100,61,55,121,127,194,172,187,134,110,153,1491,MLS,2020
Genesis GV80,0,0,0,0,0,0,0,0,0,0,20,276,296,MLS,2020
Infiniti QX60,113,173,54,42,93,97,248,220,238,187,154,214,1833,MLS,2020
Jaguar F0Pace,171,222,134,54,120,126,97,86,94,115,95,132,1446,MLS,2020
Land Rover Defender,0,0,0,2,4,5,112,100,108,168,138,192,829,MLS,2020
Land Rover Discovery / LR4,35,46,28,12,27,29,33,30,32,18,14,20,324,MLS,2020
Land Rover Range Rover Sport,237,307,186,84,186,195,168,149,161,236,194,270,2373,MLS,2020
Land Rover Range Rover Velar,152,197,119,46,103,108,109,97,105,102,84,117,1339,MLS,2020
Lexus GX,59,36,29,22,37,32,43,32,27,65,87,54,523,MLS,2020
Lexus RX,594,659,432,204,449,429,908,756,964,1650,1320,863,9228,MLS,2020
Lincoln Aviator,114,148,90,66,147,154,255,227,245,167,137,191,1941,MLS,2020
Lincoln MKX/Nautilus,101,130,79,64,141,148,224,199,216,152,125,174,1753,MLS,2020
Maserati Levante,13,17,10,10,22,23,27,24,26,19,15,21,227,MLS,2020
Mercedes0Benz GLE0Class,519,672,407,201,446,468,542,482,522,638,524,729,6150,MLS,2020
Porsche Cayenne,98,127,77,84,186,195,371,330,358,242,805,277,3150,MLS,2020
Tesla Model X,146,189,115,41,90,95,140,125,135,67,55,77,1275,MLS,2020
Volvo XC90,138,153,66,85,190,199,264,235,254,272,223,310,2389,MLS,2020
Alfa Romeo Stelvio,25,17,40,46,38,38,32,36,72,31,26,57,458,MLS,2019
Audi eTron,0,0,0,0,0,113,98,42,71,58,75,33,490,MLS,2019
Audi Q3,77,0,0,0,0,0,371,730,457,668,929,502,3734,MLS,2019
Audi Q5,626,603,1025,1349,1346,833,781,921,1070,859,1009,433,10855,MLS,2019
BMW X1,183,591,509,525,244,307,151,310,477,456,425,242,4420,MLS,2019
BMW X2,63,203,145,163,172,111,57,66,128,51,124,100,1383,MLS,2019
